,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
22,"('gb', {'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.85})","{'clf__selected_model': ('gb', {'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.85})}",1.0250123659769694,0.24138438233111276,0.5152604205396202,0.004184565865039762,43,0.6109481415411996,0.006567547978776373,1,0.5575570408271499,0.007589140510947782,1,0.7103145062857782,0.005009729702575087,17
30,"('svc', {'C': 500, 'gamma': 1, 'kernel': 'rbf'})","{'clf__selected_model': ('svc', {'C': 500, 'gamma': 1, 'kernel': 'rbf'})}",187.15630677541097,18.28941861516933,0.515143489076781,0.004834739650123839,44,0.5909112235764262,0.005398959742438816,46,0.5358316656898255,0.005527707496479619,45,0.7028867794741185,0.004607117349442723,20
21,"('gb', {'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.95})}",1.0614123503367106,0.25515588672428097,0.5077387202435276,0.002134796190588484,45,0.6105155513075744,0.006900453250184934,2,0.556579341395818,0.0077570643001435196,2,0.719476515013333,0.0029661769133694504,15
31,"('gb', {'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.95})}",3.2188915570576984,0.4834356769793254,0.5077100305953304,0.0019263068560629818,46,0.6052788287234527,0.006282398640379174,14,0.5542005202777933,0.006632164078028522,10,0.7184385289898357,0.0022387209419832757,16
2,"('gb', {'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.9})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.9})}",1.3924383799235025,0.04316387736957265,0.5052575434338363,0.0024744796809434686,47,0.6066370690474674,0.0069361525114232546,9,0.5547427252149606,0.006839390068033235,7,0.7210987931612098,0.0019507143628791099,14
17,"('gb', {'learning_rate': 0.05, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.9})","{'clf__selected_model': ('gb', {'learning_rate': 0.05, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.9})}",0.25866444905598956,0.08218584907064604,0.5004698488767001,0.000493370692514328,48,0.6061814145131791,0.005837211400197022,11,0.5540439178015355,0.006353890030379756,11,0.7243454135263988,0.0004747154585647296,13
47,"('gb', {'learning_rate': 0.025, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.9})","{'clf__selected_model': ('gb', {'learning_rate': 0.025, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.9})}",0.25437719027201333,0.013229530093581998,0.5000193334404147,0.0005421440245145348,49,0.6033289654124541,0.004586880258315245,20,0.551262632173475,0.0056711812662174985,18,0.7246368185697801,0.00038023426885810664,12
26,"('gb', {'learning_rate': 0.0001, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.0001, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.95})}",0.5233125209808349,0.14700094102217506,0.5,0.0,50,0.602605333532262,0.006954658603267781,26,0.5514758840331702,0.0064437684784591515,17,0.7250991615259491,6.422561230932191e-05,1
13,"('gb', {'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.618})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.618})}",0.3375033219655355,0.07788150931028914,0.5,0.0,50,0.6046749275765801,0.006720546334103417,16,0.5522692340119758,0.007031070682539946,14,0.7250991615259491,6.422561230932191e-05,1
20,"('gb', {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'subsample': 0.618})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'subsample': 0.618})}",0.5636338869730632,0.14849861770034253,0.5,0.0,50,0.6088804548894681,0.007322278680006413,4,0.5544653069048947,0.008454767732425006,9,0.7250991615259491,6.422561230932191e-05,1
39,"('gb', {'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.95})}",1.1378575007120768,0.34356332222808944,0.5,0.0,50,0.6077391743588596,0.007445192503336323,8,0.5522288247283512,0.008333584963606932,15,0.7250991615259491,6.422561230932191e-05,1
8,"('gb', {'learning_rate': 0.0001, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.8})","{'clf__selected_model': ('gb', {'learning_rate': 0.0001, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.8})}",0.2570491790771484,0.030339830992953086,0.5,0.0,50,0.6032705083596974,0.0064985264907552525,22,0.5519476337342151,0.007440810921510027,16,0.7250991615259491,6.422561230932191e-05,1
3,"('gb', {'learning_rate': 0.01, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.5})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.5})}",0.28576483726501467,0.0076426093913816145,0.5,0.0,50,0.6008479063112576,0.007026629382617089,30,0.5492933743959175,0.007287887417084026,22,0.7250991615259491,6.422561230932191e-05,1
25,"('gb', {'learning_rate': 0.0001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.8})","{'clf__selected_model': ('gb', {'learning_rate': 0.0001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.8})}",0.14741360346476237,0.030345580950487262,0.5,0.0,50,0.6047747285003457,0.007162360632143746,15,0.550724713809058,0.00968128697958446,20,0.7250991615259491,6.422561230932191e-05,1
57,"('gb', {'learning_rate': 0.0001, 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 500, 'subsample': 0.9})","{'clf__selected_model': ('gb', {'learning_rate': 0.0001, 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 500, 'subsample': 0.9})}",19.158025376001994,1.5939763217031009,0.5,0.0,50,0.6053678286982935,0.006504920317279466,13,0.5540310552488066,0.00627928226529477,12,0.7250991615259491,6.422561230932191e-05,1
58,"('gb', {'learning_rate': 0.0001, 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.5})","{'clf__selected_model': ('gb', {'learning_rate': 0.0001, 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.5})}",4.33956405321757,1.005693296037681,0.5,0.0,50,0.6079877896353262,0.006910510573942692,7,0.5553727449749547,0.0071784810946462,4,0.7250991615259491,6.422561230932191e-05,1
51,"('gb', {'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0})","{'clf__selected_model': ('gb', {'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0})}",0.06774837176005045,0.003091717711709811,0.49997320529584127,0.00020938000038269673,59,0.6054123200619977,0.007274155900121582,12,0.5507276225926598,0.008308748249598258,19,0.7249958440475865,0.00021876012492112217,11
43,"('gb', {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.95})}",1.0081201394399006,0.1802774283247572,0.4999531736581233,0.00014496450745438093,60,0.6090562655412004,0.007175060196390397,3,0.5544658918366812,0.008694363244331307,8,0.7250209376402363,0.00019057305613045682,10
